psraid,sample,form,int_date,lang,state,cregion,density,usr,pial1a,pial1b,pial2a,pial2b,pial2c,pial2d,pial2e,pial3a,pial3b,pial3c,pial3d,pial4a,pial4b,pial4c,pial5,relig,chr,born,attend,ql1,ql1a,qc1,hh1,employ,par,sex,age,educ2,hisp,race,inc,income,reg,party,partyln,ideo,raceos,pial5os,religos,zipcode,weight,standwt
100306,1,2,21414,1,28,3,1,R, ,2,2,3,3,4,2,2,2,2,1,2,2,2,98,1, ,1,1,1, , ,1,3,2,2,79,5,2,1,2,1,1,2, ,3, , , ,39667,1.1,.337057671115465
100312,1,2,21414,1,8,4,2,S, ,2,4,2,3,4,3,2,1,1,2,1,1,2,7,1, ,1,2,1, , ,2,1,2,1,55,8,2,1,9,4,1,1, ,2, , , ,80132,1.06666666666667,.326843802293784
100319,1,1,21414,1,47,3,2,R,1, ,2,2,3,4,3,2,2,8,2,2,2,2,98,11,9, ,1,1, , ,1,3,2,2,77,7,2,1,3,1,3,4,2,9, , ,JAHOVAS WITNESS,38501,1,.306416064650422
100321,1,1,21414,1,1,3,1,R,1, ,2,2,3,3,2,1,2,1,3,1,1,1,1,1, ,1,2,1, , ,2,2,2,2,69,5,2,2,3,1,1,2, ,3, , , ,35462,1.6,.490265703440676
100324,1,2,21414,1,17,2,1,R, ,2,4,2,3,3,2,2,8,2,1,2,1,2,6,2, ,2,2,2,1, ,1,1,2,2,80,5,2,1,99,4,1,2, ,3, , , ,61356,1.3,.398340884045549
100325,1,2,21414,1,18,2,3,U, ,1,4,3,4,4,4,2,2,1,1,2,2,2,2,3, ,1,2,1, , ,1,3,2,2,64,3,2,2,3,1,1,2, ,5, , , ,46806,2.26666666666667,.694543079874291
100327,1,1,21514,2,36,1,5,U,1, ,3,3,3,4,2,2,1,2,1,2,2,2,98,2, ,2,1,2,2, ,4,3,2,2,18,2,1,1,99,9,3,9,2,2, , , ,11421,7.46666666666667,2.28790661605649
100332,1,2,21414,1,39,2,4,U, ,8,8,8,8,4,8,8,8,8,8,2,2,2,98,1, ,2,1,2,2, ,1,3,2,2,84,2,2,1,99,9,3,2, ,8, , , ,44312,2.16666666666667,.663901473409249
100333,1,1,21414,1,55,2,1,S,1, ,4,2,4,4,3,2,2,2,2,2,2,2,98,2, ,2,5,1, , ,2,1,2,1,50,5,2,1,4,2,1,3,1,2, , , ,54761,2.56666666666667,.786467899269418
100334,1,1,21414,1,21,3,1,R,1, ,2,2,4,4,3,1,3,8,1,1,1,2,97,1, ,2,5,1, , ,2,2,2,1,68,3,2,1,4,2,1,2, ,2, , , ,40484,2.43333333333333,.745612423982695
100335,1,2,21414,1,12,3,4,U, ,8,2,3,4,4,3,8,2,8,2,1,1,2,7,2, ,2,2,2,2, ,1,3,2,1,84,6,2,1,4,2,1,3,1,2, , , ,32211,1.3,.398340884045549
100340,1,1,21414,1,13,3,2,S,1, ,3,1,2,4,3,2,2,2,2,2,1,2,7,1, ,1,3,1, , ,2,3,2,2,71,8,2,1,8,4,1,2, ,4, , , ,31522,1.4,.428982490510591
